ID	DrugID
22654	3473
22655	3473
22656	3473
4980	1811
4982	1811
14118	1811
14122	1811
14126	1811
14130	1811
14134	1811
14138	1811
14140	1811
14142	1811
14144	1811
14146	1811
14148	1811
14150	1811
15775	1811
15777	1811
15779	1811
4989	1489
4990	1489
4991	1489
4992	363
4993	363
4994	363
4995	363
4996	363
4997	363
13222	363
13223	363
13224	363
4998	44
5000	44
5002	44
5046	44
5047	44
5048	44
5049	44
5050	44
5051	44
6142	44
6143	44
6144	44
6830	44
6831	44
6832	44
8750	44
8751	44
8752	44
9655	44
9657	44
9659	44
12267	44
12268	44
12269	44
12270	44
12271	44
12272	44
12273	44
12274	44
12275	44
12276	44
12277	44
12278	44
16997	44
16998	44
16999	44
17342	44
17343	44
17344	44
20526	44
20527	44
20528	44
20529	44
20530	44
20531	44
21597	44
21598	44
21599	44
21600	44
21601	44
21602	44
22513	44
22514	44
22515	44
22516	44
22517	44
22518	44
5004	3462
5005	3462
5006	3462
5007	1488
5008	1488
5009	1488
5052	3916
5054	3916
5056	3916
5058	3916
5060	3916
5062	3916
5064	3916
5066	3916
5068	3916
5070	3916
5072	3916
5074	3916
5076	3916
5078	3916
5080	3916
5082	3916
5084	3916
5086	3916
5088	3916
5090	3916
5092	3916
5094	3916
5096	3916
5098	3916
7260	3916
7262	3916
7264	3916
7568	3916
7570	3916
7572	3916
12831	3916
12832	3916
12833	3916
13098	3916
13099	3916
13100	3916
14212	3916
14213	3916
14214	3916
14215	3916
14216	3916
14217	3916
14218	3916
14219	3916
14220	3916
14221	3916
14222	3916
14223	3916
14385	3916
14386	3916
14387	3916
17684	3916
17686	3916
17688	3916
17690	3916
17692	3916
17694	3916
17696	3916
17698	3916
17700	3916
17702	3916
17704	3916
17706	3916
28430	3916
28432	3916
5179	2171
5181	2171
5183	2171
5185	2171
5187	2171
5189	2171
13611	2171
13612	2171
13613	2171
5279	1358
5280	1358
5281	1358
9978	1358
9979	1358
9980	1358
5292	4013
5294	4013
5296	4013
5298	4013
5300	4013
5302	4013
5453	220
5454	220
5455	220
9670	220
9675	220
9680	220
12222	220
12227	220
12232	220
12237	220
12242	220
12247	220
12252	220
12257	220
12262	220
12435	220
12440	220
12445	220
12450	220
12455	220
12460	220
5558	108
5559	108
5560	108
12834	108
12835	108
12836	108
5561	833
5562	833
5563	833
5565	833
5570	833
5575	833
18760	833
18761	833
18762	833
5566	1307
5571	1307
5576	1307
5567	2870
5572	2870
5577	2870
5568	3263
5573	3263
5578	3263
5675	2172
5676	2172
5677	2172
5707	2172
5715	2172
5723	2172
5687	2222
5688	2222
5689	2222
5690	2222
5691	2222
5692	2222
5704	589
5712	589
5720	589
5803	3102
5804	3102
5805	3102
9674	3102
9679	3102
9684	3102
12226	3102
12231	3102
12236	3102
12241	3102
12246	3102
12251	3102
12256	3102
12261	3102
12266	3102
12439	3102
12444	3102
12449	3102
12454	3102
12459	3102
12464	3102
5861	2767
5863	2767
5865	2767
5950	1256
5951	1256
5952	1256
6559	1256
6560	1256
6561	1256
6833	1256
6834	1256
6835	1256
8881	1256
8887	1256
8893	1256
11994	1256
11995	1256
11996	1256
5953	3295
5954	3295
5955	3295
5956	1466
5957	1466
5958	1466
5962	1464
5963	1464
5964	1464
6734	1464
6735	1464
6736	1464
6848	1464
6849	1464
6850	1464
8882	1464
8888	1464
8894	1464
13116	1464
13117	1464
13118	1464
15267	1464
15268	1464
15269	1464
17360	1464
17361	1464
17362	1464
18436	1464
18437	1464
18438	1464
18439	1464
18440	1464
18441	1464
18442	1464
18443	1464
18444	1464
18445	1464
18446	1464
18447	1464
18448	1464
18449	1464
18450	1464
18451	1464
18452	1464
18453	1464
18454	1464
18455	1464
18456	1464
18457	1464
18458	1464
18459	1464
18460	1464
18461	1464
18462	1464
